UserID,Username,GlobalRank,PP,RME,Location
20810161,Enigm4,93082,4866.23,,United States
17847877,yukixo,7978,8899.86,,Philippines
114017,KRZY,3144,10486.7,,South Korea
757783,Garalulu,7434,9019.39,,South Korea
23865299,AkiyamaMizuki,12868,8123.77,,South Korea
16976321,Kulib,42255,6162.76,,China
26627197,NBWKelleR,204511,3440.61,,Germany
874891,gxytcgxytc,24291,7069.66,,China
14065788,PolKet,51620,5835.52,,Vietnam
1893953,Nakano-,2631,10794.6,,Singapore
12223059,Plugin,33888,6524.75,,Vietnam
11901115,R E S O L V E D,18399,7521.25,,Vietnam
28639641,[GB]mmttyy233,1810188,308.781,,China
31185655,[Paw]Fish_wood,3283181,47.0159,,China
6403393,Kotoki,103453,4687.09,,Macau
9830401,-[Yuzi Mo]-,232359,3203.3,,China
12975612,My Angel Bawe,3712,10216.7,,Spain
11129034,Spektre,686,13264.1,,South Korea
3191010,Andy26,116514,4481.44,,Norway
9697769,TiRa,3223,10453.5,,Hong Kong
15375919,Law__,36916,6385.19,,Malaysia
452514,-matsurisu-,5163,9657.73,,China
2351439,Kotor1,2086,11225.7,,China
16094871,hvke,557,13658.7,,Vietnam
14213841,[Crz]Xinyi2016,728268,1230.22,,China
13953619,YuEast 2018,,0,,China
6646221,sqdnerd,20048,7381.74,,Italy
9754897,xUnk-n-own,109227,4595.69,,Argentina
21130016,Axiqn,69243,5355.3,,Singapore
12683342,Cimpher,43756,6108.25,,Vietnam
14054383,Bingo6,4488,9898.35,,Germany
13067221,heyimcrunchy,26526,6924.87,,Malaysia
18916521,Adel1,24091,7081.64,,Jordan
10336501,Jan119,10948,8391.74,,Germany
17310248,Jordan Farmar,5940,9418.61,,Canada
8579186,Greninja,27025,6895.23,,Canada
19364028,Stormur,3340,10396.2,,United Kingdom
14880534,RUENN_,81659,5081.88,,Ukraine
6178640,MagBlood,14355,7938.34,,Poland
7636779,Leebs,2860,10658.9,,United States
9282017,Forw3n,8901,8714.37,,France
14833619,TzArtifactz,9012,8692.88,,Thailand
11189164,Ryshult,53045,5791.88,,France
1195423,[KOR]Kosaki,2156,11166.1,,South Korea
10962678,clx,122020,4401.51,,United States
23339768,ElFlun,4445,9912.92,,Peru
11339405,GDcheerios,11615,8289.96,,United States
7403461,ArFunG,4839,9765.51,,Hong Kong
6286661,Aya Maruyama,26575,6921.77,,Russian Federation
9477784,chooga,12900,8119.77,,Philippines
2198995,Minecraft570,1748,11536.0,,Hong Kong
6898948,Watr,4515,9883.52,,United States
10862128,n0 body,11002,8384.58,,Singapore
9569443,Fuwarin,92422,4878.35,,Kazakhstan
3825470,K22,3232,10449.4,,Hong Kong
11718072,TobseN,1983,11304.4,,Germany
7426260,xenonius,17671,7587.14,,Canada
12965030,jqvi,9886,8548.06,,Romania
22531693,kyomiei,98344,4772.52,,United States
11234706,ZeitFrost,852,12861.2,,Germany
8484023,Stipoki,72661,5278.26,,Germany
13109448,ysen,4483,9900.34,,Netherlands
17911347,Toshee,24597,7049.8,,Vietnam
12570345,Rintivius,24929,7025.7,,Russian Federation
27522881,El Zobro,239205,3148.02,,Egypt
8831121,JeeeeeeeeeeeeeJ,28643,6800.55,,France
12899970,KeS_Play,7937,8907.41,,Russian Federation
11396041,zmyk,16963,7657.02,,China
17865200,Sayuuu_,5211,9642.89,,Hong Kong
20054960,oro,133776,4234.4,,Singapore
13659816,Naoi Rei,10836,8410.35,,Australia
14386088,shuishuilong,8166,8859.83,,Taiwan
20988852,Sunsivk,10231,8498.83,,United States
1285637,Shiina Noriko,3077,10526.0,,Taiwan
12115298,mreow,1018,12525.5,,United States
16212851,JustMango,7857,8924.71,,Vietnam
12471178,TG4X,72524,5281.31,,Jordan
14723002,Reclusive,27619,6858.71,,Canada
10815893,Volition,12839,8127.17,,Hong Kong
11155994,THE WOAT,24584,7050.44,,Estonia
9453134,Koni,22521,7192.38,,Belgium
7810180,calangi,2298,11058.1,,France
3859324,Cryptonit,14685,7898.66,,Germany
13981291,Pink -,1497,11810.9,,Netherlands
19567545,Trayyzer,21335,7279.19,,France
6234945,Edythator,6543,9244.03,,Sweden
14348073,Omekyu,51242,5848.63,,Germany
17598669,[Zoned],56503,5688.58,,United States
9489702,TypoFanGirl,14261,7948.96,,Sweden
14503827,bebrograd,42690,6148.49,,Russian Federation
12392321,akasaka0330,101243,4724.05,,France
14171345,HaxTwoWater,91623,4892.16,,France
16533659,raemu,19187,7451.13,,Philippines
11141678,KevDawg,1710,11563.7,,United States
20630250,Stage my mommy,18224,7537.17,,United States
12148238,Rumit,2105,11214.2,,Mongolia
14528133,mags,5989,9406.74,,United Kingdom
27673466,Xiawni,13730,8017.97,,France
8085085,Aniwazan,24601,7049.56,,Russian Federation
17471480,Ak2R,62632,5517.42,,Russian Federation
7749333,SHKplay,44209,6091.57,,Poland
18197620,My Angel Yuzu,13737,8017.42,,Philippines
15213299,igrokpepe,4705,9812.63,,Russian Federation
20047372,z11a,11761,8269.28,,Austria
13821438,Melifaro,17183,7634.48,,Russian Federation
18792902,Irkutsk,13740,8017.73,,Russian Federation
10079847,Rainbowtaves,31133,6664.75,,Russian Federation
3218675,Egor20042004,170261,3780.08,,Russian Federation
6973354,____________,22844,7170.35,,France
20584083,Halleyakutake,118441,4453.85,,Philippines
14942902,maarv,11624,8288.41,,Italy
14269250,seriker,153231,3980.08,,Russian Federation
15289173,MongolianVaxei,24169,7076.76,,Mongolia
9301350,cloref,8710,8745.41,,Russian Federation
18733873,2dd4d9,402954,2206.94,,Russian Federation
6412340,Vidrya,31211,6660.55,,France
6857843,cIementine,1997,11294.9,,United States
8653781,rikkstar,270071,2923.66,,United States
10325072,Fiaee,1785,11508.5,,France
14625260,Essere,33605,6539.17,,Italy
6560308,Boriska,11863,8257.29,,Russian Federation
9572055,_Shirahiko_,78093,5157.99,,Russian Federation
7781764,Koo998,33912,6523.66,,New Zealand
16420295,I Love SansREPZ,1230,12223.4,,Spain
9074108,Steckdose123,1716,11556.4,,Germany
12629966,MrIncr3dible,21441,7271.8,,Germany
16544318,Epick,36068,6423.93,,Russian Federation
14411486,[Fubuki],58422,5632.33,,Malaysia
16375942,saberrrrrr,6366,9298.98,,Hong Kong
27597380,her everything,95347,4825.01,,Switzerland
13042221,ZHKPN,17811,7573.01,,Japan
15772236,KillerLink,144067,4097.03,,Brazil
17665830,rheacole,160288,3893.2,,Russian Federation
14245185,pyzo3928,6608,9227.09,,Russian Federation
16288992,Ruyaya,6308,9312.88,,Taiwan
18151399,jntdew,51803,5830.44,,Peru
20298097,Hoshi-,68925,5362.89,,Malaysia
12465306,R2GC FearFul,64643,5466.79,,Russian Federation
14942638,FrauOn,116872,4476.77,,Russian Federation
17092344,_Rameez,11109,8366.06,,India
14454744,Lollicornzi,101754,4715.12,,Malaysia
2012453,PikaPwn,144,16206.2,,Canada
7529140,-Ayano,31036,6670.24,,Russian Federation
16626648,Ano_o3,17936,7561.2,,Iraq
8745248,Ricardo93,8306,8828.47,,Guatemala
8692802,Guozi on Osu,42289,6162.18,,China
15168429,xoKurama,130717,4277.4,,Germany
9519657,laks,5075,9684.83,,Indonesia
9099771,freed0my,316,14690.6,,Russian Federation
8173495,WackyFlo,125243,4354.26,,New Zealand
11607790,Chzaron,702,13233.1,,United States
8274648,P0MAH,737,13155.2,,Ukraine
10040931,J P,11113,8366.6,,Portugal
14547194,Azertyran,979,12590.5,,France
10459580,Kagami,5036,9702.22,,Argentina
7439525,-BlazingFart-,19062,7462.23,,Vietnam
7184934,capnjazzy,1959,11318.5,,Russian Federation
17040762,Mysterious_,31589,6641.13,,France
28056292,Naraka MF,53936,5763.2,,Japan
23151588,Arian,19812,7399.65,,South Korea
16061514,HyFresh,21273,7284.5,,South Korea
8456924,FADED THAN A HO,29829,6733.07,,Belgium
19090336,Suzuki39,104614,4668.2,,China
17321865,mononeko_,201705,3466.82,,China
13915963,Buzzy,7054,9105.6,,United Kingdom
12086452,Tile,4135,10046.6,,United States
10731095,gg_boi,42938,6139.21,,Switzerland
14472389,Scrn,61195,5555.88,,Poland
11037311,MeowerFight,17291,7625.23,,Hong Kong
15055740,NOMOD FARMER,14776,7890.1,,Germany
10648818,Mazzuli500,270263,2922.4,,Finland
4928776,AxewB,200,15585.9,,Russian Federation
8454542,Woebel,70729,5320.34,,Netherlands
14977845,moppen,350172,2456.28,,Norway
3036545,975250450,207,15523.4,,Taiwan
18466329,- Rinku -,18880,7477.57,,Hong Kong
17073008,Akatsuki owo,9318,8641.65,,United States
16436446,Lunasa,431,14120.6,,Malaysia
6407282,Kazuki K,632,13415.9,,Uruguay
12757170,maciejk2,12107,8222.95,,Poland
12301126,FD3S 13B-REW,7330,9043.93,,Argentina
14569713,KBGT_THZE_,3515,10306.1,,Taiwan
15029746,Jaqoe,56909,5676.47,,Netherlands
5909569,Junkmaniac,11342,8331.56,,Singapore
17389949,suyoung,13160,8087.19,,United States
641155,Nihilet,3318,10402.6,,Netherlands
6090175,lolol235,890,12777.2,,China
9920144,Kryterion,590,13568.2,,Ukraine
16949746,RAAPslimshady,88149,4956.22,,Peru
8964050,GAO HAO,5476,9559.56,,Taiwan
7118702,Volki,16968,7656.31,,Austria
14469386,kofa_lososa,60747,5567.9,,Russian Federation
16448760,priexerie,21654,7255.43,,Russian Federation
16716726,mirsina,98241,4774.16,,Japan
28118863,3lectr0,79933,5117.83,,Belgium
11967146,teach to play,611,13495.1,,Kazakhstan
13605288,BigBrainBob,42249,6163.58,,United States
13364591,-dogo,16504,7701.42,,Peru
30780107,Povolo_RN,130865,4275.54,,Italy
15121355,a m a,42401,6157.89,,France
17866322,boccher gaming,25568,6984.1,,Canada
18598040,micro,6593,9230.93,,United States
11106565,Idoly Pride,14207,7955.28,,Brazil
7616811,Toaph Daddy,11692,8277.94,,United States
4803900,ArkShadow,6024,9395.0,,Australia
8935379,Tony 2,725,13169.1,,United States
11393702,Finney,351,14481.2,,Germany
9494931,Julla,627,13423.0,,United States
11895642,Humishi,2553,10848.3,,Brazil
9676459,Ancistrus,5912,9427.12,,Brazil
12404210,Kekai,5482,9555.68,,United States
18258880,-Cyda,15943,7759.07,,Türkiye
10746206,VACSI-mensi,203860,3446.79,,Slovakia
14628380,onipu,141159,4135.27,,Brazil
18517514,Zalur,1880,11412.9,,United States
12047601,xMatrix382,5491,9552.94,,Poland
31201579,Arcie68805,934086,905.145,,New Zealand
6387149,kiirochii,271,14971.7,,Italy
14106450,worst hr player,35,18910.3,,South Korea
23226849,ButtMonkey2608,390175,2265.4,,Australia
3929529,mniminwoo,693,13253.1,,United States
5334278,Retoree,7553,8990.97,,Canada
19977408,Peterrior,62218,5529.16,,Austria
7885244,Loopins,12229,8206.87,,South Korea
13628898,Jacob3,634,13409.2,,United States
8717773,poppasanas,7158,9082.83,,Russian Federation
15183294,ferzis,21050,7303.64,,Russian Federation
5981005,gamer228666,72,17369.4,,Russian Federation
8541186,-Milky,3472,10322.3,,Croatia
6304246,RyuK,31,19114.4,,Canada
3543130,Michni,1321,12069.2,,Poland
15342657,torriru,2476,10899.1,,Canada
12483293,twotabby,12257,8203.64,,Russian Federation
8486823,Shleepy,8170,8857.57,,Singapore
10384720,999kalel999,13488,8047.58,,Brazil
17063143,Hatrd,200079,3481.85,,Singapore
19016280,zluks,4025,10089.7,,United States
4597545,Lonli-chan,96619,4801.98,,Brazil
9883156,lefrutit228,39077,6292.02,,Russian Federation
7819055,Definition,5865,9438.01,,Singapore
19314814,FubukiMyWaifu,86997,4976.52,,United States
7626092,Tatsua,1739,11541.1,,Japan
17159216,7White,46371,6013.01,,China
15155213,BoozngZng,112767,4539.39,,Vietnam
15960747,cosilgam,206793,3419.6,,Russian Federation
10685608,stealfth,26483,6927.5,,Denmark
18278864,wawadesu,49077,5920.7,,Japan
12862939,SeregaSkull,5441,9566.31,,Russian Federation
3698691,Vivace,668,13315.0,,Australia
17764670,BluNuggets,101749,4715.25,,Philippines
7804244,Koteykaaa,10685,8429.52,,Russian Federation
12327038,FxxyX,2133,11192.5,,Israel
13406067,Ethannu,2398,10969.5,,United Kingdom
8768850,napadenie somov,3708,10218.3,,Russian Federation
16873960,Nennerce,23333,7137.45,,Russian Federation
14247293,Forza,589,13569.5,,Brazil
12948391,quit www,3153,10483.5,,Russian Federation
12284608,RJbyM,3705,10221.4,,Russian Federation
10826957,escace,1262,12175.0,,Russian Federation
17074316,itsushini,53907,5764.32,,Hong Kong
9052194,Allegrissimo,309,14729.6,,South Korea
18433043,V00,19190,7451.81,,United Kingdom
18772140,Monke48,57008,5673.25,,Australia
21188727,Sharrp,108053,4613.77,,United Kingdom
13452280,Mthia,12361,8191.25,,Czechia
1540807,jackylam5,1725,11552.1,,Netherlands
5829679,My Love Astolfo,65883,5435.78,,Germany
26305078,_silence_,47788,5964.77,,Singapore
18844163,Heaki,100939,4729.59,,Algeria
23414710,ROYHASYA,920962,921.726,,Indonesia
14169321,Teini,9322,8641.29,,Iceland
15194234,bjorn_,22276,7208.85,,United States
8553078,ERA Guldakh,2193352,194.654,,Spain
17518828,popa-pudj 2003,570895,1601.86,,Russian Federation
8174555,Atakan,24266,7070.23,,Türkiye
9873693,Chyter,71031,5314.04,,Poland
15846736,-Jayden,21968,7230.53,,Germany
22493043,[bwap],36783,6390.98,,Australia
9527862,Nibl,36710,6394.43,,Netherlands
5045440,- S a y o -,15241,7840.29,,Hong Kong
10314488,TheFatKnight,60741,5568.05,,Philippines
13264148,Magma,5389,9582.01,,Germany
596803,Kishin Sagume,27239,6881.66,,China
11966411,Revitalize,16038,7750.68,,Indonesia
3760209,Tosai_,,0,,Malaysia
2071008,yz1155,637355,1427.45,,South Korea
15063171,TheMiron,4137,10045.9,,Czechia
4642516,Ramskie,,0,,Philippines
8445602,Suzuha,1110,12399.0,,Russian Federation
17901125,FuuzyTron,31722,6634.55,,Russian Federation
4795670,Buizie,39507,6274.13,,Philippines
11934348,Columbina,4031,10088.7,,France
16418077,Yobu_Dal,61830,5539.28,,Russian Federation
13954882,Murtork,64369,5474.12,,Russian Federation
5783061,-Spartan,2361,11001.5,,Switzerland
14223852,iceGOD,61390,5550.76,,Portugal
14811725,Rayark514,11746,8271.1,,Taiwan
16249373,Zankur,27552,6862.68,,Indonesia
4681677,eggg,15219,7842.98,,United States
20672564,FlyingZxian,95560,4821.62,,China
14237443,_Not_M4ti,6078,9378.19,,Poland
22670223,toukor,237716,3160.11,,Russian Federation
19623071,Sat info,14840,7882.57,,Czechia
12294699,hisia,16231,7729.63,,Brazil
9294147,howtoplay,2009,11286.4,,Serbia
22615825,Zedfish,3441431,37.8754,,Indonesia
16515711,owoPeef,45143,6056.1,,Russian Federation
2441810,mhk05,75755,5208.67,,Singapore
21847140,Zackgoodboi,76227,5199.0,,Indonesia
20581305,[Shen]_suisexx,58695,5624.63,,Malaysia
724330,LzrShak,347562,2469.21,,Germany
10132830,Ink,11698,8277.41,,Russian Federation
4929497,Lunai,12528,8168.46,,Austria
9244014,divinereigns,26030,6955.15,,United States
7834402,mikuenjoyer_69,,0,,Russian Federation
16838519,BGJV,15454,7815.03,,Singapore
18927175,Ruzian UwU,106455,4639.26,,Germany
2472609,Imokora,5609,9516.82,,Taiwan
8810520,Asairan,15436,7816.76,,Finland
18850950,Lyfx,70616,5323.53,,Estonia
19678233,lousy129,164592,3843.07,,Singapore
1596946,Bier,10233,8498.42,,Germany
14463439,_Hachikun_,21003,7305.77,,Japan
11763130,Vaklav,10264,8494.61,,Czechia
18917198,OilBo,14958,7868.42,,United Kingdom
8549010,Dabelek18,15410,7819.86,,Poland
9250996,Bittshrooms,49702,5900.01,,Netherlands
6622567,NyarkoO,116182,4486.19,,Czechia
17333685,PixlYoshi,96506,4804.14,,United States
831979,P_O,52036,5823.53,,Finland
12464656,-Meowkai-,102233,4706.52,,Taiwan
16397069,JffZero,11631,8286.93,,Germany
11987530,Kazusa_,31208,6660.63,,Taiwan
11347579,33ap,117651,4465.31,,Russian Federation
7306251,Chromasia,5412,9576.71,,United States
16038493,pacificdualies,601227,1518.84,,United States
11383358,Drxvmik,340,14554.5,,Slovakia
25277154,kotishewski,90349,4915.9,,Russian Federation
16978626,Antjor,62216,5528.8,,Peru
18047816,Roly-Poly,285578,2821.17,,Russian Federation
16169131,Rice Shower,17001,7652.46,,Russian Federation
7079684,Shioreru,128049,4313.67,,Russian Federation
7233153,- Tanakimaru -,8883,8716.09,,Poland
14380711,Fernyo,23609,7114.58,,Sweden
14239691,Palmo,27823,6846.2,,Germany
19271193,Xddavisko,33776,6530.94,,Czechia
19875644,flowerghost,66042,5432.33,,Brazil
20128601,tales77,6896,9144.91,,France
23303515,Dugyy,2771,10712.3,,Slovakia
11992434,skerg,2793,10702.9,,Indonesia
11380904,cat burger,1229,12224.9,,Denmark
21073465,sph3re,22405,7200.37,,Finland
19744046,FestivalFour179,29629,6743.26,,Spain
7894397,seichii-,11159,8358.46,,Latvia
6989615,UC2,6517,9252.68,,Netherlands
32255718,MEER__,54675,5740.64,,Russian Federation
3992043,Penguin UwU,6807,9172.17,,Canada
3328606,Redavor,102291,4705.52,,Slovenia
12579786,bappoes,3306,10408.7,,Germany
6747548,Nylme,66064,5431.85,,Australia
2723790,[Leo],11813,8263.19,,Greece
5000924,Toileri,13670,8026.13,,Finland
10898542,IceStoorm,54483,5746.75,,France
8075782,ratcho,186,15758.5,,Canada
7451956,Intex,3786,10187.8,,United States
13139356,daniel_,1628,11666.2,,United States
20270770,ashley-,12295,8200.4,,Germany
14843851,ShiinaMahiru,183985,3635.46,,Singapore
11892687,Lunepie,39618,6269.55,,Netherlands
12639976,Treezy,45820,6032.85,,Austria
15575212,darell,46019,6027.0,,Germany
6957298,Unghalor,16901,7662.65,,Spain
10304774,Ilmay,3168,10478.7,,France
14060557,BoNeStY_,11889,8254.32,,Sweden
9391047,poisonvx,81295,5089.53,,United States
15025665,HyBer,32969,6570.76,,Hungary
10436444,No rank,13364,8063.36,,China
1428455,Deramok,17129,7638.89,,Switzerland
9712974,Bismarck,30672,6687.64,,Norway
14317057,zailscode123,1734940,337.475,,United States
19811525,combohater,30733,6685.55,,Germany
2482226,Imagine,10494,8458.84,,Portugal
11990664,Yzkq,14086,7973.96,,Chile
7475179,Zyf,42387,6158.37,,France
10444236,Izuneyy,74840,5229.13,,Germany
14110760,Farbel_Fabio,3555,10288.7,,Germany
19926884,SudoKu37,262444,2976.87,,Ukraine
10504596,temka na,812,12964.2,,Russian Federation
8627574,Creper,9955,8538.27,,Brazil
3601553,2popte,49343,5911.52,,United States
3061206,Lunage,12612,8158.43,,United States
19998548,suntanCTM,412,14200.3,,Chile
13408614,-Zak-,86081,4993.89,,United States
22921542,Buvuw,659061,1376.49,,Brazil
10615367,ERA Punish,71318,5308.02,,Germany
19813386,Awlden,97154,4792.34,,United States
15355457,YuyuCat,14700,7897.07,,Chile
16907797,ShionMurasaki,24968,7023.64,,Tajikistan
6595616,Mirek,4905,9744.64,,Czechia
8398988,Trollface,17683,7586.9,,Czechia
12479148,shiroude,290,14843.6,,Brazil
14920057,KingKendo,106693,4635.76,,United States
5182623,Ontoryran,1692,11587.7,,Russian Federation
6447505,maxie,75518,5213.85,,United States
12833276,dsxtreem,127983,4314.67,,United States
11026386,Valentz,1965,11313.6,,United States
14162368,kayul,9514,8607.19,,United States
15993085,Vaktors,65268,5450.97,,Brazil
5009715,Doga,1213,12241.4,,United States
9917989,sil boy,10336,8483.62,,United States
19607815,YourAverageTube,107618,4620.59,,New Zealand
5645231,decaten,108,16648.4,,United States
18513363,morimori,34125,6513.6,,Japan
23887825,danhhog,78223,5155.26,,Vietnam
23788852,hamsternon,35538,6447.63,,United States
10502251,FluffyGMD,630491,1444.32,,Australia
9856089,GianSpark,,0,,Argentina
29378407,sylvie03,1336385,541.294,,Vietnam
16345115,king3,67072,5408.01,,Brazil
17980085,Rlno,14335,7940.12,,United States
15355796,AdowableUwU,449769,2011.6,,United States
11526714,ikaenia,12136,8219.31,,United States
22864070,sheenes,55952,5703.23,,Canada
7058132,Plundery,2586,10825.1,,South Korea
13196536,Miosha,39662,6268.53,,Uruguay
17203584,Aksygen,97147,4792.49,,United States
9683163,Squishu,65056,5456.52,,Canada
25668478,SkY TN,19018,7465.54,,Tunisia
21493546,Bunz,53819,5766.26,,United States
9808432,Whew,28146,6828.52,,United States
10804091,GDMem,615201,1482.25,,Canada
9659805,fish oil,18283,7530.85,,New Zealand
9550257,ToshiroKen,2311,11042.7,,Philippines
12396731,-Kou,14545,7915.36,,Philippines
14279904,xSweeet,158085,3920.03,,Guatemala
1195430,Snow Patrol,30123,6718.24,,Australia
7060756,winz,2800,10698.6,,United States
5145352,tuudug-,2906,10626.3,,Mongolia
5472877,Chroneko,724276,1238.22,,Indonesia
8511247,2zow,,0,,Taiwan
22632480,RaffyNator,72036,5291.98,,Canada
8195473,cyo,321,14672.9,,Australia
24106842,B4ppers,34816,6480.37,,United States
11107867,AKlevenseven,3478901,35.9906,,China
17241883,ExiaXD,24436,7060.66,,Canada
11305398,Pancho,1491,11820.7,,Chile
10809086,Xpxp,4192,10027.6,,United States
5319959,0610,336,14575.7,,Australia
15140323,Zedd,38850,6300.76,,Canada
13248033,ovovocjj,85933,4996.57,,China
20040177,Cherika,66926,5410.8,,Indonesia
18467308,MapYui,120420,4424.82,,Philippines
13368273,Wozu,26302,6938.51,,United States
9803745,rumii,2008,11286.7,,New Zealand
19903338,i love rinko,10118,8516.42,,Singapore
4075655,970,7545,8995.68,,China
17008037,aaewool,21734,7250.26,,South Korea
14899675,DaNILMaZ1,2963,10591.2,,Ukraine
19105150,Maximum Impact,104131,4675.98,,Indonesia
11233771,Epicjep22,54889,5734.69,,Philippines
11971909,[Inaffable],41827,6180.62,,Taiwan
27627276,lyu,34715,6484.73,,South Korea
3167235,Genki1000,34618,6490.18,,Australia
8335950,Reedkatt,87,17092.8,,Sweden
6105480,Zykno,2618,10801.5,,Argentina
12905443,- Clubber -,5180,9653.63,,Australia
15554489,SuperCZ,3311,10406.2,,Australia
69114,YGOkid8,13946,7991.92,,Australia
8455034,Inequality,13620,8031.85,,Malaysia
3843969,Slow Tapping,13598,8033.76,,Germany
10944966,Outlasted,,0,,Netherlands
16092152,Chalko3,1344594,536.019,,United States
16351743,BanBok Manager,44697,6074.37,,South Korea
30652496,Kwolium,264370,2963.54,,Belarus
14466424,ionn,1620,11675.8,,South Korea
11754842,SirWaffle79,,0,,Italy
11247923,Sedi,238611,3153.3,,Singapore
11186530,Ahoy_,31633,6638.54,,South Korea
5946601,ranlore,3164,10479.1,,Thailand
15227187,Kaanfickels,5737,9478.37,,Germany
17308202,Incidinci,55872,5705.9,,Germany
6246211,-Scott,81931,5075.99,,Ireland
13323980,Hoex,12899,8119.98,,Singapore
18468021,GC5,51411,5842.33,,United Arab Emirates
13336293,hoifanrd,40573,6230.26,,Hong Kong
959763,Flask,1368,12005.3,,Taiwan
19294290,Retr0Foxx,114725,4508.04,,Indonesia
21618923,IRubix1,86238,4990.52,,Philippines
5179764,Aikiyo Fuuka,58299,5635.85,,Indonesia
17515783,AFKII,109421,4591.95,,Taiwan
12017880,NekoShabeta,27062,6890.71,,Thailand
17136579,rekt-69,73881,5250.62,,Taiwan
11408653,Leka,202861,3455.92,,Finland
11829390,sakuraskip,119,16494.3,,South Korea
9474976,HonBae,1095,12421.0,,United States
4429612,Luminous Sky,128670,4304.66,,Romania
23131435,Taje,42234,6163.46,,India
6596134,Zonii,2185,11150.0,,Indonesia
21713253,Puni7na,18750,7491.63,,Indonesia
1501956,Fuma,1504,11805.9,,Indonesia
13590024,[Ryze],20756,7324.88,,Malaysia
20344592,Iwbhe,37819,6344.45,,Argentina
20044158,[-Ding-],28078,6833.03,,Taiwan
9529511,WOJT,10282,8492.98,,Poland
8021339,Mi-a,,0,,China
17245160,[-LOFI-],26145,6947.99,,Singapore
3044264,Skull Kid,27048,6891.38,,Brazil
13766261,Lougui,332183,2549.12,,France
12407531,D4rgZ,3357,10382.9,,Russian Federation
1626983,Cryolien,15983,7754.48,,Malaysia
14949827,Escaroth,68446,5373.78,,India
4557440,reyss,221879,3290.02,,Indonesia
19140906,Ribet,239579,3145.15,,China
15653095,Meowshiii,97843,4780.64,,Germany
12041302,-Sharp,837926,1038.68,,Russian Federation
11121849,Wix,23111,7151.45,,Serbia
10254649,Kajteq,19916,7392.79,,Poland
12575465,Radawid,43871,6104.64,,Poland
2047748,s r b,11955,8243.35,,Germany
6029569,lordnik22,180878,3667.6,,Switzerland
5933031,Deorum,15885,7764.05,,Indonesia
9318565,Prade,8779,8732.71,,Russian Federation
16958213,Grumelmann,49503,5906.21,,Germany
679524,Ogata Chieri,19434,7431.38,,Taiwan
16462012,CheeseStingy,649986,1397.53,,Taiwan
5468461,FrootLoopy542,53821,5766.14,,United States
10507557,antigen,367996,2368.03,,China
16491865,StyxEClap,19742,7407.89,,Indonesia
15514768,Mkurisutina-,411989,2166.99,,Thailand
4474918,Inugami Korone,1916,11370.6,,Malaysia
4592814,Lexbalker,9235,8656.43,,Slovakia
5750235,Sparxe,155041,3956.36,,New Zealand
2927742,Pochacco,,0,,Philippines
16091841,Dienamic,15998,7753.24,,Indonesia
12562107,CPT_Sivelia,2556368,123.437,,Vietnam
26114971,DAQAO,10188,8506.92,,Taiwan
9872359,RonTheNoob,42525,6153.36,,Philippines
19676403,Exelense,71654,5300.4,,Russian Federation
16137157,xhsi,1748399,332.249,,Türkiye
10912688,lucker,3383,10368.2,,Czechia
7933825,ronaldonater,14841,7884.14,,Montenegro
9980266,Xelane,20185,7371.49,,India
18296748,NAVY,4474,9902.52,,South Korea
10247537,Trubik,78869,5141.55,,Czechia
9943289,Leonid181099,581000,1573.51,,Russian Federation
29987147,lilBeuzy,299323,2736.31,,France
11808725,_Arkoss97_,13071,8097.09,,Czechia
3770789,feli73,95803,4817.16,,Germany
7236909,Forse,4062,10073.7,,Russian Federation
2854598,[ Couch ],1986,11303.1,,Sweden
13664116,AuroraPhasmata,5229,9639.51,,United States
1259391,Eyenine,,0,,Philippines
9821194,Miniature Lamp,52631,5803.58,,United States
18359137,KnightBot23,22507,7193.48,,Philippines
10849159,nsfuu,15796,7774.63,,Indonesia
7718539,Skey,191784,3559.28,,United States
11159392,HellReyza,38624,6310.22,,Germany
9507565,costco hotdog,4966,9721.96,,United States
22159068,ClinCliu,219761,3307.96,,United Kingdom
10242062,AFOTHER,,0,,Japan
12275725,CuftaJunior,236628,3168.45,,Serbia
20052680,MadishXD,66496,5421.79,,Trinidad and Tobago
13352562,Numero_Zer0e,23373,7133.47,,Portugal
16892459,Babibelbleu,,0,,France
11674122,willwam,70491,5325.99,,United Kingdom
17863453,Nevzz,13615,8031.83,,Chile
18458907,D0w0,99603,4751.39,,Argentina
16274214,[kaz],57524,5657.68,,Germany
12825668,paszaBiceps,11673,8280.45,,Poland
9496559,Doppelgangerr,19293,7442.18,,Poland
14282987,szedis,1076,12460.7,,Poland
15513303,ElzeFanBoy,1050664,775.104,,United States
8414284,Markus,7500,9004.69,,Norway
20376082,Vunistic,261294,2985.33,,Canada
24752641,SecretboyV2,49798,5896.43,,Türkiye
1263669,Ulqui,114237,4515.93,,Chile
10987034,Drestau,46292,6015.75,,Türkiye
24184846,Morea_,50946,5857.87,,Türkiye
16083856,F3n1X,4143,10044.9,,Israel
11637288,Zamen,169539,3788.26,,Netherlands
7807935,Kaoshii,2687,10754.4,,Argentina
10671830,rimjobber1,15792,7775.39,,France
8453742,OG_Dwarf,10575,8445.11,,France
23241899,lilC0ffy,149899,4021.51,,Chile
4643576,veke,4031,10087.9,,Finland
24417636,Piger,73128,5267.77,,Russian Federation
16125443,Axium0w0,,0,,Taiwan
21354730,pedru1,100169,4742.27,,Portugal
